sede,sector,status,tiempo_s,mae,r2,mape,n_test
Tunja,Comedores,OK,62.2,0.108,0.4651,35.34,2214
Tunja,Salones,OK,43.9,0.3503,0.7749,91.48,2214
Tunja,Laboratorios,OK,75.9,0.3093,0.7581,14.48,2214
Tunja,Auditorios,OK,87.1,0.0074,0.0958,10.86,2214
Tunja,Oficinas,OK,79.2,0.3814,0.7663,50.98,2214
Duitama,Comedores,OK,65.6,0.1843,0.4806,34.62,2214
Duitama,Salones,OK,41.7,0.8256,0.7642,89.31,2214
Duitama,Laboratorios,OK,82.7,0.7173,0.7447,14.46,2214
Duitama,Auditorios,OK,76.4,0.0204,0.1507,15.58,2214
Duitama,Oficinas,OK,87.8,0.7409,0.7562,49.9,2214
Sogamoso,Comedores,OK,62.5,0.1857,0.4812,34.05,2211
Sogamoso,Salones,OK,60.7,0.7957,0.7704,89.27,2211
Sogamoso,Laboratorios,OK,83.5,0.81,0.7577,14.74,2211
Sogamoso,Auditorios,OK,79.8,0.0119,0.1269,10.86,2211
Sogamoso,Oficinas,OK,71.4,0.7856,0.7584,51.39,2211
Chiquinquirá,Comedores,OK,73.2,0.0565,0.4877,33.64,2213
Chiquinquirá,Salones,OK,47.6,0.4093,0.7727,90.89,2213
Chiquinquirá,Laboratorios,OK,62.7,0.1594,0.7866,16.95,2213
Chiquinquirá,Auditorios,OK,96.7,0.0082,0.1129,11.6,2213
Chiquinquirá,Oficinas,OK,66.9,0.3382,0.778,49.86,2213
